Date,Open,High,Low,Close,Adj Close,Volume
22-08-2016,44.834,45.698002,43.764,43.998001,43.998001,67110500
29-08-2016,44.029999,44.080002,39.240002,39.556,39.556,118161000
05-09-2016,39.804001,41.299999,38.740002,38.894001,38.894001,75832000
12-09-2016,39,41.139999,38.689999,41.080002,41.080002,78720500
19-09-2016,41.400002,42.035999,40.312,41.490002,41.490002,63158000
26-09-2016,41.299999,42.200001,39.91,40.806,40.806,65846500
03-10-2016,42.459999,43.133999,39.16,39.321999,39.321999,98076500
10-10-2016,40.27,40.827999,39.259998,39.301998,39.301998,71899500
17-10-2016,39.41,41.332001,38.400002,40.018002,40.018002,126210500
24-10-2016,40.200001,42.740002,39.966,39.993999,39.993999,141016000
31-10-2016,40.498001,40.498001,37.192001,38.112,38.112,119023500
07-11-2016,38.717999,39.498001,36.084,37.712002,37.712002,130248000
14-11-2016,37.599998,38.599998,35.638,37.004002,37.004002,119930000
21-11-2016,37.007999,39.448002,36.742001,39.330002,39.330002,86112000
28-11-2016,39.096001,39.869999,36,36.293999,36.293999,108421500
05-12-2016,36.501999,38.768002,36.501999,38.436001,38.436001,94211500
12-12-2016,38.560001,40.599998,38.236,40.498001,40.498001,102151000
19-12-2016,40.498001,42.689999,39.967999,42.667999,42.667999,105832000
26-12-2016,42.976002,44.759998,42.335999,42.737999,42.737999,91929000
02-01-2017,42.972,46.062,42.192001,45.801998,45.801998,142882000
09-01-2017,45.793999,47.57,45.116001,47.549999,47.549999,105867500
16-01-2017,47.34,49.736,46.874001,48.945999,48.945999,101615500
23-01-2017,49.169998,51.692001,49.099998,50.59,50.59,113447000
30-01-2017,50.506001,51.178001,49.419998,50.265999,50.265999,82812500
06-02-2017,50.200001,54.236,50.125999,53.846001,53.846001,115901000
13-02-2017,54.147999,57.478001,52.830002,54.445999,54.445999,163285500
20-02-2017,55.09,56.689999,50.040001,51.400002,51.400002,187592500
27-02-2017,49.633999,50.970001,48.402,50.313999,50.313999,143098000
06-03-2017,49.582001,50.778,48.599998,48.737999,48.737999,87429000
13-03-2017,48.964001,53.150002,48.556,52.299999,52.299999,147907500
20-03-2017,52.119999,52.959999,50.048,52.632,52.632,117748500
27-03-2017,52.119999,56.400002,51.950001,55.66,55.66,126688000
03-04-2017,57.380001,60.976002,56.916,60.507999,60.507999,210021500
10-04-2017,61.830002,62.745998,59.060001,60.799999,60.799999,143622000
17-04-2017,60.540001,61.830002,59.580002,61.119999,61.119999,108658000
24-04-2017,61.844002,62.959999,61.172001,62.813999,62.813999,122451500
01-05-2017,62.976002,65.531998,58.152,61.669998,61.669998,218375500
08-05-2017,62.18,65.400002,61.164001,64.961998,64.961998,156500000
15-05-2017,63.675999,64.040001,61.062,62.166,62.166,144139000
22-05-2017,62.560001,65.098,60.695999,65.028,65.028,132485500
29-05-2017,65.199997,68.975998,65.152,67.970001,67.970001,154722500
05-06-2017,67.699997,75.374001,66.842003,71.463997,71.463997,267960500
12-06-2017,71.598,76.849998,70.124001,74.279999,74.279999,261507500
19-06-2017,75,77.398003,73.559998,76.690002,76.690002,164434000
26-06-2017,77.337997,77.389999,70.82,72.321999,72.321999,169862500
03-07-2017,74.047997,74.269997,61.259998,62.644001,62.644001,284267500
10-07-2017,62.580002,66.620003,60.625999,65.556,65.556,249730500
17-07-2017,65.108002,66.330002,62.689999,65.68,65.68,163377000
24-07-2017,66.047997,69.5,65.258003,67.014,67.014,168149500
31-07-2017,67.099998,71.454002,62.243999,71.382004,71.382004,263668000
07-08-2017,71.470001,74,70.550003,71.573997,71.573997,160625500
14-08-2017,72.926003,73.531998,69.160004,69.491997,69.491997,107270000
21-08-2017,69.164001,71.332001,66.370003,69.610001,69.610001,119203000
28-08-2017,69.456001,71.688004,67.75,71.080002,71.080002,91864500
04-09-2017,70.760002,71.098,68.311996,68.68,68.68,77146000
11-09-2017,70.269997,76,70,75.961998,75.961998,152241000
18-09-2017,76.050003,77.921997,70.176003,70.218002,70.218002,156683000
25-09-2017,70.629997,71.494003,67.080002,68.220001,68.220001,156246000
02-10-2017,68.503998,72.019997,66.255997,71.375999,71.375999,160365500
09-10-2017,69.93,71.956001,68.533997,71.113998,71.113998,133002500
16-10-2017,70.751999,72.599998,68.867996,69.019997,69.019997,118000500
23-10-2017,69.975998,69.989998,63.332001,64.174004,64.174004,154181500
30-10-2017,63.835999,66.522003,58.526001,61.217999,61.217999,235347000
06-11-2017,61.400002,61.672001,59.259998,60.598,60.598,132890500
13-11-2017,60.026001,65.334,59.821999,63.009998,63.009998,193984500
20-11-2017,62.757999,63.646,60.950001,63.110001,63.110001,118353500
27-11-2017,62.650002,64,60.245998,61.306,61.306,134586500
04-12-2017,61.299999,63.726002,60,63.026001,63.026001,129630000
11-12-2017,62.925999,69.487999,62.75,68.690002,68.690002,178129000
18-12-2017,68.980003,69.346001,64.963997,65.040001,65.040001,134280000
25-12-2017,64.765999,64.788002,61.908001,62.27,62.27,85920000
01-01-2018,62.400002,65.050003,61.136002,63.316002,63.316002,117056000
08-01-2018,63.200001,68.961998,63.099998,67.244003,67.244003,163932500
15-01-2018,67.508003,70.459999,66.959999,70.003998,70.003998,120759500
22-01-2018,69.879997,72.099998,67.141998,68.57,68.57,141215000
29-01-2018,67.970001,71.931999,67.655998,68.75,68.75,117907000
05-02-2018,67.594002,69.723999,58.952,62.084,62.084,198850000
12-02-2018,63.226002,68.624001,61.25,67.098,67.098,131471000
19-02-2018,66.893997,70.998001,66.300003,70.410004,70.410004,100081000
26-02-2018,70.699997,71.998001,64.594002,67.024002,67.024002,135927500
05-03-2018,66.477997,67.550003,64.348,65.433998,65.433998,110949000
12-03-2018,65.722,69.442001,63.813999,64.269997,64.269997,174396500
19-03-2018,63.299999,64.487999,60.09,60.307999,60.307999,149008500
26-03-2018,61.467999,61.518002,49.641998,53.226002,53.226002,292096500
